
Boahji	pole-star
ožžodit	be able to get oneself to do something
ožžoš	clever at or successful in getting
peanna	pen
persovnnalaš	personal
plokket	plough
plásttar	plaster
pláŋkosahá	cross-cut saw
prentedit	imitate printed letters when writing
prentet	print (of printer’s work)
proavás	rural dean
pumpet	pump
páhkket	pack
pálbma	palm (tree or branch)
pálbmamuorra	palm
pántedit	contin. of panˈtit
pántet	distrain
párrabeana	a kind of card game
párragoddi	married couple
pássa	passport
pássár	compass (for drawing)
rabbalit	hurry off
radnet	tear off small pieces
ragadit	contin. of râkkât
ragahit	caus. of râkkât; stay with one's reindeer in the rutting season
raguhit	caus.of râkkot; chiefly: lose the fish through its damaging the hook and breaking away
rahkat	rut (of male reindeer)
rahkki	much given to mating (of male reindeer)
rahkolas	apt to work too hard
rahkut	tear away; exert oneself more than is good for one
rahpastit	make something come so near the edge that it falls out
rahpot	working glove made of tanned skin
rahppi	something which is wider at the opening than farther in (e.g. a garment)
rahppi	the one who opens something
rahpášit	consider râpˈpai
rahtat	unpick (seam or garment)
rahča	hard work
rahčalit	pull oneself together and go somewhere or do something
rakŋolas	apt to râgŋot
rakŋut	work harder than is good for one (of people and draught reindeer)
ramas	edge of the eye; giettâ-râmâs ˈback of the handˈ
rampo	beröm
ramppuhit	walk in very or too short clothes or clothes which are too much tucked up
ramput	go somewhere with very or too short clothes or with clothes that are too much tucked up
ramssihit	mom. of râmˈsot (= râmsadit)
ramssodit	contin. of râmˈsot
ramádat	strong wind and black frost
ranči	person who goes half naked
ranččas	half naked
rapmaduvvat	get seasick
rasttidit	cross (over) (e.g. a river)
rasttádallat	freq. of râstedit
rattát	side by side
ravdadit	put a râwˈdâ on a womanˈs cap
ravdadit	stay at the edge of the herd
ravdat	(ei LpDict)
ravddagit	too near the edge (esp. of sewing)
ravddaheapme	which is without râwˈdâ 3 (of woman's cap)
ravddas	material for making (gâppĕr-)râwˈdâ
ravddat	reindeer which constantly stays at or near the edge of the herd
ravgadit	cause to râwˈgât
ravggihit	mom. of râwˈgât
ravggodit	contin. of râwˈgot
ravkalit	wink once
ravkit	wink (subj.: the eyes); beat (subj.: the pulse)
ravkke	unstressed particle emphasizing a request in question
ravkkihit	mom. of râwˈket
ravkkuhit	with čâlme as obj.: wink several times to attract attention or express secret understanding; wink several times at each other
rađadit	contin. of râttât
raŋggas	stiff and motionless
raŋgát	lie stiff and motionless
rašit	not strongly enough
rašášit	consider râšše
raššudit	caus. of râššot
raššut	become râšˈše or more râšˈše
raŧŧi	winter way made by driving reindeer
ražastit	dimin. of râččât; buy something comparatively dear
ražáskit	begin doing some hard work
ražžat	who has good sinews and muscles
reabbá	Hyas araneus (crab)
readdi	top part of a mitten or stocking; each of three stripes in the knitting round the wrist of the mitten
readdit	knit plain-and-purl (as at the top of a mitten or stocking)
readnji	person or animal that has short legs
readnját	stand with short legs
reagas	loud and violent crying
reaggašuvvat	get frightened and shy (of fish)
reaggit	be felt a shooting pain in (impers.) (= rægˈgot)
reaggut	be felt a shooting pain in (impers.)
reaggánit	(ei LpDict)
reahcas	small and crooked-legged
reahccát	stand or lie with the legs wide apart
reahka	sleigh
reahkká	shelf with holes for putting kitchen things in
reahkut	cry loudly and violently
reahpenjávri	lake which is very deep in the middle and never has ice there (according to popular belief this kind of lake has a double bottom)
reahtat	(impers.) be felt a sharp pain (in)
reakci	coating of mildew (on milk etc.)
reakcut	get a crust of mildew
reakcái	coated with mildew
reakčanit	get dints (e. g. of a kettle)
reakči	dint
reakčá	large flat beach with a clay bottom (dry at low-water)
reakčái	with many rækˈčas
realsi	one who has his tunic or fur coat open
realssas	who has his tunic or fur coat open
realsát	stand or sit with the tunic or fur coat open
reandi	male reindeer with long antlers which steadily diverge upwards
reantu	(money) interest
reanzi	reindeer with its antlers sloping very much outwards at the sides
reanzzas	which are short and very much sloping outwards
reatká	Juniperus communis (juniper)
reavas	who easily wakes up (esp. of little children)
reavgit	belch; make a belching noise (ptarmigan)
reavgut	belch
reavgálas	apt to ræwˈget
reavvašuvvat	get disturbed in one's sleep; get frightened (of fish)
reavvát	stand or lie with legs wide apart
reavžalit	walk off with the legs wide apart (in an ugly way)
reavži	thing with something which is spread out; person with the legs wide apart
reavžut	drink in big gulps
reavžut	have the legs wide apart
reavžut	in a spread out position or in an ugly position with the legs wide apart
reavžžuhit	walk with the legs wide apart (in an ugly way)
reaŋggaš	master or mistress and (farm etc.) manservant
reaškit	guffaw v.
reaškkas	guffaw
reašmi	rope at the top edge of a fishing net
reašmmus	= gāmâ-ruowˈdâ
reaššan	rope at the top edge of a fishing net (= ræšˈme)
reašši	large flat beach with a clay bottom (dry at low-water) (= rækˈča)
regget	feel a pang or sharp pain once
regodit	contin. of rækkot
rehkko	name of a cow which is white with a red head
rehkolas	apt to cry violently and loudly
reidet	get ready for use or for taking with one on a shorter or longer trip
reikedit	contin. of reiˈkit
reiket	walk (indoors)
reiset	go for a (rather long or expensive) journey
reistát	try
reitot	get the embryo injured so that a miscarriage is likely to result (only of animals)
rekčot	get dints (e.g. of a kettle)
restot	trade at a loss (of trader)
retket	smoke with juniper smoke; strew with sprigs of juniper; birch (the bare bottom) with juniper branches
revgolas	apt to ræwˈgot
reŋko	stool; trestle (under scaffold etc.)
ribat	(ei LpDict)
ribon	ringworm
riccagit	become riʒʒâs
ridda	wooden hurdle; pen (in cow-shed)
ridnu	contest; (in) competition
ridnái	thickly covered with ridne
rieban	Canis vulpes (fox)
riebangolli	mica
riebansilba	mica (= riebân-golˈle)
riebas	spoilt by being kept too long (of liver)
riegádeapmi	birth
riehkadit	be doing what is denoted by riekˈkât; stick to one's guns
riehkan	person who works hard
riehkki	(rather large) driftwood
riehkkái	with a great deal of drift-wood
riehpat	get spoilt by being kept too long (of liver)
riejihit	mom. of rieggjât
riekkis	ring (but not of ring on the finger)
riektadit	break (a driving reindeer) of the bad habit of not answering to the rein or not keeping to the track
riektat	learn to answer to the rein and keep to the track (of driving reindeer)
rieppis	who shows plainly that she is pregnant
riesaldat	each separate part of a fringe (= riessâm)
riesas	each separate part of a fringe (= riessâm)
riessamastit	put fringes on
riessan	each separate part of a fringe
rievdadallalas	apt to change (the reindeer marks)
rievdadit	cause to riewˈdât; esp. used of changing the mark on the reindeer
rievddadit	drift to and fro (on the water)
rievddas	which has become different from before
rievdna	grain (corn of a cereal)
rievki	something to support and keep level a cooking pot or kettle if it hangs crooked
rievssat	Lagopus lagopus (ptarmigan)
rievssatcizáš	a sort of ciʒaš
rievssatmuorji	Arctostaphylos alpina (bearberry)
rievttastuvvat	be going to riekˈtât (with neg.)
rievttašit	consider right
rievttuid	duly; rightly
rievvut	rob (= rievedit 1)
riežihit	mom. of rieččot (= rieǯadit)
riežádit	mom. of rieččot
riffal	pencil
rigeret	make a lot of noise (of children); rummage in
riggat	(ei LpDict)
riggi	iron chain for hanging a cooking pot over the fire
riggut	get rich
rihccut	go or walk shivering (of reindeer calf etc.)
rihccát	stand or lie naked (of children)
rihkkašuvvat	get damaged
rihkostit	dimin. of rikˈkot
rihkostit	make grooves or (furrow-like) lines in
rihppamánná	candidate for confirmation
rihppasit	happen to be flicked away (= ripˈpâšuvvât)
rihppaskuvla	preparation for confirmation
rihppašuvvat	happen to be flicked away
rihttet	divide roughly (a carcase)
rihtá	trap for catching the larger kinds of beasts of prey
rihčolas	apt to rieččot
riibma	the old system of chronology
riidet	ride
riidái	with many riiˈdes (of terrain)
riifu	rake
riigu	thin old lake fish
riigá	thin old lake fish (= riiˈgo)
riipu	Limax (snail)
riipu	gunwale of boat (not of river boat)
riiska	who cannot stand touching something belonging to him; (of animals) which cannot stand one coming near or touching
riiskkas	who cannot stand touching something belonging to him; (of animals) which cannot stand one coming near or touching (= riiskâ)
rikkis	rich
rikko	Riefe (der Büchse)
rikkustuvvat	try hard to get rich
rikkášit	consider (too) rich
rimba	disease of lambs which makes the stomach swell
rimbbas	which has a disproportionately large belly (= riebbâs)
rimsi	rag; person wearing ragged clothes; person who waves (about) something very much
rimssagit	become rimsâs
rimssodit	contin. of rimˈsot
rimsu	rag; person wearing ragged clothes; person who waves (about) something very much (= rimˈse)
rimški	rag
rimškkagit	become rimškâs
rindi	wooden hurdle; pen (in a cow-shed) (= ridˈdâ)
rinuhit	cause to ridnot
rinuhit	go with ridne on him (both of people and animals)
rinzi	person with a prominent stomach or belly
rinzzas	who has a prominent stomach or belly
rinči	person who goes half naked (= rânˈče)
rinčut	run without enough clothes on (= rânˈčot)
rinčut	without (enough) clothes on
rinččagit	become rinčâs
rinččas	half naked (= rânˈčâs)
rinččistit	as descr. vb. with viekkât: run about half naked (of children)
risenrievdna	risën-riewnâk: rice (= krisën-surˈbmek)
risku	filigree brooch or buckle to fasten a (womanˈs) neckerchief
rista	cross; prima signatio
ristat	ratify the private baptism of a child; have baptism ratified in church
ristehit	have baptism ratified in church (= ristâšâtˈtet)
ristejaš-	(pl.) christening party
ristet	have baptism ratified in church (= ristâšâtˈtet)
ristet	shake oneˈs head
risttašahttit	have baptism ratified in church
risttašit	ratify the private baptism of a child
ritni	(thick) rime on trees and other things
ritnohallat	compete (recipr.)
ritnudit	caus. of ridnot
ritnut	get covered with ridne
rivdal	(ei LpDict)
rivdnji	narrow sound where the current changes with the ebb and flow of the tide
rivgovuolpu	Alchemilla vulgaris (lady's mantle)
rivgu	woman who is not a Lapp; woman who is not in Lapp dress
rivguluvvat	become Norwegianized (of women)
rivihuvvat	become rivetæbmĕ
rivja	wooden top bar of tent door; wooden cross-piece of old-fashioned radno-loom
rivnnjuhit	fling away (contemptuously; several things)
rivttár	person who is a quick and efficient worker; quick and efficient (at work)
rivvosii	with might and main
rivzzagit	become riwʒâs
rivzzas	that has a too large stomach
rivzát	stand or lie like the riwˈʒe one is
rizagit	become riʒâs
rizza	miserable little creature with a big belly
riđo	Sturm
riđvái	quick and careless in oneˈs work
riđđudit	blow hard [of storm]; get on very quickly or too quickly (with work)
riŋggalseaibi	dog with its tail in a curl over its back
rišaidit	spirt or spread out in all directions
rišihit	mom. of riššât
rišša	sulphur; (pl.) matches
riššu	person who is careless at work
riššui	careless at one's work
rižodit	contin. of rieččot
roabihit	mom. of roappât
roabát	a kind of fresh-water herring
roadda	small club for playing a ball game
roaggá	Russian (coarse) sack
roahcalas	apt to roaccât
roahccái	apt to roaccât (= roaccâlâs)
roahkastit	catch something with a hook
roahkil	hook-shaped
roahkkalas	apt to roakˈkât
roahkkat	catch (several things) with a hook
roahkkečoarvi	female reindeer with hooked antlers
roahkki	hook
roahkkut	in a folded position (of the hands)
roahkkálas	roakˈkalâs gieđâi: with hands folded
roahkohus	barbed join in a beam in the wall of a house
roahnit	low branchy tree of irregular growth (= rāhnek)
roahpa	slight scraping noise
roahpat	make a slight scraping noise
roahttu	Mus norvegicus (rat)
roahča	noise like rain on a stiff garment made of skin or on cardboard
roahčat	make a noise like rain on a stiff garment made of skin or on cardboard
roaibasaddat	twist or be drawn in all directions (of mouth)
roaibasit	run (to) somewhere with one's mouth contorted ready to cry
roaibbagit	become roaibâs
roaibbádit	mom. of roaiˈbot¹
roaibu	reindeer which is so emaciated that its bones protrude
roaibut	(at the moment) in a contorted miserable position (of mouth)
roaibut	make a contorted or miserable mouth
roaiskalit	hit someone or something (with something)
roaiskkagit	become roaiskâs
roaiskkas	whipping (the sound of which is audible)
roaiskkuhit	caus. of roaiˈskot
